epoch,train_loss,train_acc,val_loss,val_acc,lr
1,2.5456,0.1317,2.4883,0.3656,0.000100
2,2.4448,0.3959,2.2849,0.4734,0.000100
3,2.2123,0.3527,1.9743,0.3187,0.000100
4,1.9589,0.3617,1.6873,0.5938,0.000100
5,1.7314,0.5039,1.4310,0.5454,0.000100
6,1.4852,0.5376,1.2138,0.6229,0.000100
7,1.2948,0.6031,1.0501,0.6354,0.000100
8,1.1414,0.6275,0.9380,0.7544,0.000100
9,1.0203,0.6568,0.8231,0.7797,0.000100
10,0.9309,0.6935,0.7478,0.7203,0.000100
11,0.8442,0.7295,0.6586,0.8399,0.000100
12,0.7775,0.7683,0.6012,0.8399,0.000100
13,0.7187,0.7620,0.5377,0.8414,0.000100
14,0.6521,0.8203,0.4815,0.8430,0.000100
15,0.6026,0.8298,0.4377,0.8494,0.000100
16,0.5662,0.8426,0.3927,0.9025,0.000100
17,0.5109,0.8806,0.3497,0.9496,0.000100
18,0.4678,0.9202,0.3202,0.9496,0.000100
19,0.4303,0.9217,0.2881,0.9527,0.000100
20,0.4067,0.9317,0.2737,0.9544,0.000100
21,0.3710,0.9365,0.2480,0.9528,0.000100
22,0.3501,0.9408,0.2275,0.9575,0.000100
23,0.3257,0.9448,0.2128,0.9591,0.000100
24,0.3079,0.9442,0.1991,0.9606,0.000100
25,0.2735,0.9504,0.1844,0.9623,0.000100
26,0.2590,0.9528,0.1703,0.9591,0.000100
27,0.2480,0.9470,0.1635,0.9638,0.000100
28,0.2253,0.9526,0.1514,0.9622,0.000100
29,0.2195,0.9526,0.1446,0.9654,0.000100
30,0.2078,0.9538,0.1419,0.9654,0.000100
31,0.1808,0.9613,0.1341,0.9654,0.000100
32,0.1815,0.9552,0.1269,0.9670,0.000100
33,0.1754,0.9593,0.1260,0.9654,0.000100
34,0.1642,0.9622,0.1162,0.9654,0.000100
35,0.1549,0.9607,0.1101,0.9654,0.000100
36,0.1470,0.9635,0.1048,0.9654,0.000100
37,0.1356,0.9647,0.1047,0.9654,0.000100
38,0.1341,0.9674,0.0991,0.9654,0.000100
39,0.1255,0.9699,0.0966,0.9686,0.000100
40,0.1224,0.9682,0.0983,0.9654,0.000100
41,0.1200,0.9708,0.0895,0.9702,0.000100
42,0.1144,0.9688,0.0922,0.9686,0.000100
43,0.1087,0.9718,0.0926,0.9670,0.000100
44,0.1083,0.9720,0.0916,0.9718,0.000050
45,0.0973,0.9739,0.0843,0.9733,0.000050
46,0.0996,0.9760,0.0863,0.9718,0.000050
47,0.0929,0.9754,0.0810,0.9733,0.000050
48,0.0952,0.9769,0.0836,0.9718,0.000050
49,0.0964,0.9733,0.0845,0.9718,0.000050
50,0.0963,0.9756,0.0819,0.9718,0.000025
51,0.0948,0.9751,0.0818,0.9718,0.000025
52,0.0905,0.9782,0.0814,0.9718,0.000025
